Fecha|Total
2019-05-15|4853.74
2019-05-16|18653.23
2019-05-17|3277.18
2019-05-18|0.0
2019-05-19|0.0
2019-05-20|3146.0
2019-05-21|4082.0
2019-05-22|0.0
2019-05-23|4414.99
2019-05-24|3551.0
2019-05-25|0.0
2019-05-26|0.0
2019-05-27|0.0
2019-05-28|8777.5
2019-05-29|2033.55
2019-05-30|7085.75
2019-05-31|11739.6
2019-06-01|0.0
2019-06-02|0.0
2019-06-03|0.0
2019-06-04|0.0
2019-06-05|0.0
2019-06-06|0.0
2019-06-07|0.0
2019-06-08|0.0
2019-06-09|0.0
2019-06-10|0.0
2019-06-11|0.0
2019-06-12|0.0
2019-06-13|0.0
2019-06-14|0.0
2019-06-15|0.0
2019-06-16|0.0
2019-06-17|0.0
2019-06-18|0.0
2019-06-19|0.0
2019-06-20|0.0
2019-06-21|0.0
2019-06-22|0.0
2019-06-23|0.0
2019-06-24|0.0
2019-06-25|0.0
2019-06-26|0.0
2019-06-27|0.0
2019-06-28|0.0
2019-06-29|0.0
2019-06-30|0.0
2019-07-01|0.0
2019-07-02|0.0
2019-07-03|0.0
2019-07-04|0.0
2019-07-05|0.0
2019-07-06|0.0
2019-07-07|0.0
2019-07-08|0.0
2019-07-09|0.0
2019-07-10|0.0
2019-07-11|0.0
2019-07-12|0.0
2019-07-13|0.0
2019-07-14|0.0
2019-07-15|0.0
2019-07-16|0.0
2019-07-17|0.0
2019-07-18|0.0
2019-07-19|0.0
2019-07-20|0.0
2019-07-21|0.0
2019-07-22|0.0
2019-07-23|0.0
2019-07-24|0.0
2019-07-25|0.0
2019-07-26|0.0
2019-07-27|0.0
2019-07-28|0.0
2019-07-29|0.0
2019-07-30|0.0
2019-07-31|0.0
2019-08-01|0.0
2019-08-02|39117.31
2019-08-03|8897.86
2019-08-04|0.0
2019-08-05|5415.54
2019-08-06|5535.23
2019-08-07|7008.0
2019-08-08|0.0
2019-08-09|10697.3
2019-08-10|0.0
2019-08-11|0.0
2019-08-12|0.0
2019-08-13|0.0
2019-08-14|0.0
2019-08-15|2608.51
2019-08-16|2312.51
2019-08-17|0.0
2019-08-18|0.0
2019-08-19|3304.7
2019-08-20|10305.61
2019-08-21|9032.0
2019-08-22|1163.0
2019-08-23|5922.75
2019-08-24|0.0
2019-08-25|0.0
2019-08-26|0.0
2019-08-27|0.0
2019-08-28|4584.0
2019-08-29|1107.9
2019-08-30|0.0
2019-08-31|0.0
2019-09-01|0.0
2019-09-02|46947.17
2019-09-03|7812.8099999999995
2019-09-04|0.0
2019-09-05|9757.2
2019-09-06|1385.55
2019-09-07|0.0
2019-09-08|0.0
2019-09-09|0.0
2019-09-10|11574.46
2019-09-11|3267.7200000000003
2019-09-12|9366.0
2019-09-13|6046.0
2019-09-14|1163.0
2019-09-15|0.0
2019-09-16|0.0
2019-09-17|0.0
2019-09-18|0.0
2019-09-19|13207.19
2019-09-20|3154.98
2019-09-21|988.55
2019-09-22|0.0
2019-09-23|2303.17
2019-09-24|9312.04
2019-09-25|0.0
2019-09-26|4516.0
2019-09-27|12718.939999999999
2019-09-28|8567.039999999999
2019-09-29|0.0
2019-09-30|14073.55
2019-10-01|13620.2
2019-10-02|35544.32
2019-10-03|2258.0
2019-10-04|12579.73
2019-10-05|0.0
2019-10-06|0.0
2019-10-07|10237.7
2019-10-08|23084.82
2019-10-09|13530.86
2019-10-10|2258.0
2019-10-11|0.0
2019-10-12|0.0
2019-10-13|0.0
2019-10-14|0.0
2019-10-15|4379.0
2019-10-16|18637.09
2019-10-17|0.0
2019-10-18|4516.0
2019-10-19|2500.0
2019-10-20|0.0
2019-10-21|2163.0
2019-10-22|2644.5
2019-10-23|5269.0
2019-10-24|1163.0
2019-10-25|10156.63
2019-10-26|0.0
2019-10-27|0.0
2019-10-28|3953.74
2019-10-29|0.0
2019-10-30|5749.0
2019-10-31|0.0
2019-11-01|0.0
2019-11-02|0.0
2019-11-03|0.0
2019-11-04|12042.99
2019-11-05|26410.25
2019-11-06|43974.35
2019-11-07|10500.5
2019-11-08|0.0
2019-11-09|3202.9
2019-11-10|0.0
2019-11-11|11381.07
2019-11-12|9883.55
2019-11-13|2303.16
2019-11-14|2993.49
2019-11-15|0.0
2019-11-16|0.0
2019-11-17|0.0
2019-11-18|0.0
2019-11-19|1806.4
2019-11-20|0.0
2019-11-21|3560.82
2019-11-22|4516.0
2019-11-23|1828.0
2019-11-24|0.0
2019-11-25|5518.79
2019-11-26|0.0
2019-11-27|0.0
2019-11-28|2325.74
2019-11-29|0.0
2019-11-30|0.0
2019-12-01|0.0
2019-12-02|64358.92999999999
2019-12-03|1673.31
2019-12-04|7537.62
2019-12-05|2051.94
2019-12-06|22524.35
2019-12-07|0.0
2019-12-08|0.0
2019-12-09|0.0
2019-12-10|14737.8
2019-12-11|1163.0
2019-12-12|12911.0
2019-12-13|7636.5
2019-12-14|0.0
2019-12-15|0.0
2019-12-16|10772.0
2019-12-17|6751.55
2019-12-18|0.0
2019-12-19|0.0
2019-12-20|15153.61
2019-12-21|9369.15
2019-12-22|0.0
2019-12-23|6774.0
2019-12-24|0.0
2019-12-25|0.0
2019-12-26|0.0
2019-12-27|3567.0
2019-12-28|0.0
2019-12-29|0.0
2019-12-30|0.0
2019-12-31|0.0
2020-01-01|0.0
2020-01-02|0.0
2020-01-03|0.0
2020-01-04|0.0
2020-01-05|0.0
2020-01-06|0.0
2020-01-07|0.0
2020-01-08|0.0
2020-01-09|0.0
